#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil
OTU395	0	0	0	0	1	0	0	0
OTU397	0	0	0	1	1	1	0	0
OTU399	0	0	1	0	0	0	0	0
OTU400	0	0	1	1	0	0	0	0
OTU401	1	0	0	0	0	1	0	0
OTU402	0	0	0	1	0	0	0	0
OTU403	0	0	0	0	1	1	0	0
OTU405	0	0	0	1	1	0	0	0
OTU406	1	0	1	1	1	0	0	0
OTU407	0	0	0	0	1	1	0	0
OTU409	0	0	0	0	1	0	0	0
OTU410	0	0	0	0	1	0	0	0
OTU411	1	0	0	0	1	0	0	0
OTU415	0	0	1	1	0	0	0	0
OTU416	0	0	0	0	1	0	0	0
OTU417	0	0	0	0	0	0	0	1
OTU418	0	0	1	0	0	0	0	0
OTU419	0	0	0	0	1	0	0	0
OTU421	0	0	1	0	0	0	0	0
OTU422	0	0	0	0	1	0	0	0
OTU423	0	0	0	1	0	1	0	0
OTU424	0	0	0	0	0	0	0	1
OTU425	0	0	1	0	0	0	0	0
OTU426	1	0	0	0	0	0	1	0
OTU428	0	0	1	1	0	0	0	0
OTU430	0	0	0	0	0	0	0	1
