#OTU ID	AR1ERoot	AR1ESoil	AR1NRoot	AR1NSoil	AR1SRoot	AR1SSoil	AR1WRoot	AR1WSoil	Taxonomy
OTU19	0	0	0	0	339	298	0	0	GS|99.5|KF041420|SH1522288.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe
OTU190	0	0	0	0	15	0	0	0	GS|99.7|HQ154282|SH1553317.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales,f:Serendipitaceae,g:Serendipita
OTU191	0	0	3	0	10	0	0	0	SS|0.8200|JN194757|SH1570873.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae
OTU192	3	0	2	0	9	0	0	0	GS|97.3|HQ895790|SH1547592.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae
OTU193	0	0	0	0	10	0	0	0	SS|0.9100|UDB0780362|SH1514905.08FU;k:Fungi,p:Ascomycota
OTU194	0	0	18	2	0	0	0	0	SS|1.0000|MT785776|SH3568247.08FU;k:Fungi,p:Ascomycota
OTU195	0	0	0	0	8	0	0	0	SS|0.8900|JN012086|SH1149912.08FU;k:Fungi,p:Ascomycota,c:Archaeorhizomycetes,o:Archaeorhizomycetales,f:Archaeorhizomycetaceae,g:Archaeorhizomyces
OTU196	0	0	0	0	8	0	0	0	GS|100.0|LC497262|SH1544409.08FU;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales,f:Lipomycetaceae,g:Dipodascopsis
OTU198	0	0	3	8	0	0	0	0	SS|0.9900|JF691106|SH1232404.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales
OTU199	0	0	10	0	0	0	0	0	GS|100.0|UDB0109719|SH1523761.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Hyaloscypha
OTU2	3413	2	15	0	9345	15	0	0	GS|98.3|KC180742|SH1145669.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
OTU20	17	0	517	3	0	3	0	0	GS|100.0|UDB0230452|SH1548624.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales
OTU200	0	0	0	0	10	0	0	0	GS|97.0|JX998698|SH1641284.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales
OTU201	0	0	6	5	5	0	0	1	GS|100.0|KC818337|SH1522748.08FU;k:Fungi,p:Basidiomycota,c:Microbotryomycetes,o:Leucosporidiales
OTU202	0	0	1	1341	0	1	0	2	GS|99.3|UDB0299647|SH1557025.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella
OTU203	0	0	0	0	9	0	0	0	SS|1.0000|UDB0749214|SH2750733.08FU;k:Fungi
OTU204	1	0	0	0	16	0	0	0	SS|1.0000|UDB0482989|SH1646686.08FU;k:Fungi
OTU205	0	0	0	0	10	0	0	0	SS|1.0000|UDB058400|SH1569597.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales
OTU206	0	0	1	7	0	1	0	0	GS|99.6|UDB079054|SH1523753.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Hyaloscyphaceae,g:Hyaloscypha,s:Hyaloscypha finlandica
OTU207	0	0	0	0	7	0	0	0	GS|100.0|KF385377|SH1611598.08FU;k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Trichoglossum,s:Trichoglossum hirsutum
OTU208	10	0	0	0	2	0	1	0	GS|97.7|UDB0324447|SH3338814.08FU;k:Fungi,p:Ascomycota
OTU209	0	0	7	0	0	0	0	0	GS|98.0|UDB0358160|SH3322825.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU21	275	0	28	0	155	0	28	0	GS|0.0|None;No hit
OTU210	0	0	0	0	9	0	0	0	SS|1.0000|UDB088804|SH2725284.08FU;k:Fungi,p:Basidiomycota
OTU211	0	0	7	1	0	0	0	0	GS|99.7|KU986777|SH1535218.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium,s:Penicillium alexiae
OTU213	0	0	0	16	0	0	0	0	GS|99.7|UDB0195335|SH1557037.08FU;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella
OTU214	0	0	0	0	8	0	0	0	SS|1.0000|JX371758|SH1215354.08FU;k:Fungi
OTU215	0	0	0	0	8	0	0	0	SS|1.0000|KT728254|SH3332759.08FU;k:Fungi,p:Rozellomycota
OTU216	0	0	2	10	0	0	0	0	GS|100.0|KC967390|SH1639590.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Mytilinidales,f:Gloniaceae,g:Cenococcum,s:Cenococcum geophilum
OTU217	5	0	0	0	9	2	0	0	GS|100.0|UDB0251259|SH1648171.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae
OTU218	2	2	3	0	1	1	1	0	GS|99.3|UDB0390288|SH2725547.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Mycena
OTU219	0	0	16	0	2	0	1	0	SS|1.0000|MG008513|SH1571281.08FU;k:Fungi
OTU22	153	0	0	0	360	2	1	0	SS|1.0000|UDB0151636|SH2728794.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes
OTU220	0	0	6	0	0	0	0	0	GS|97.7|JX630726|SH1507665.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Tulasnellaceae
OTU221	0	0	1	1	8	0	0	1	GS|100.0|HM036599|SH1522924.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta,s:Coniochaeta mutabilis
OTU222	0	0	8	0	0	0	0	0	GS|100.0|HM122967|SH1515063.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales,f:Dothideaceae,g:Scleroconidioma
OTU223	0	0	3	4	0	0	6	9	SS|0.9900|JN032517|SH1626921.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Venturiales,f:Venturiaceae
OTU224	0	0	3	0	0	0	6	0	GS|98.7|UDB0438222|SH2730531.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
OTU225	0	0	0	9	0	0	0	0	GSL|100.0|MK794149|SH1650607.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes
OTU226	0	0	0	0	0	0	2	6	SS|0.8800|UDB0595896|SH2728595.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae
OTU227	14	0	0	0	5	1	0	0	SS|1.0000|KF291199|SH1611674.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrocybe
OTU228	0	0	0	0	12	0	0	0	GS|0.0|None;No hit
OTU229	0	0	1	1	0	4	0	2	GS|79.9|UDB0598440|SH1611229.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Inocybaceae,g:Inocybe
OTU23	209	0	0	0	206	0	5	1	GS|98.6|UDB0534805|SH2743139.08FU;k:Fungi,p:Ascomycota,c:Lecanoromycetes
OTU230	1	0	0	5	0	0	0	0	SS|1.0000|UDB0346053|SH2735871.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
OTU231	0	0	0	0	0	4	0	2	GS|100.0|UDB0297300|SH3337742.08FU;k:Fungi,p:Chytridiomycota,c:Rhizophydiomycetes,o:Rhizophydiales
OTU232	0	0	2	5	0	0	0	0	GS|99.0|UDB0300152|SH3329481.08FU;k:Fungi,p:Chytridiomycota,c:Rhizophydiomycetes,o:Rhizophydiales
OTU233	0	0	0	0	6	0	0	0	GS|98.7|UDB0384939|SH1610605.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Auriculariales
OTU234	0	0	1	0	3	2	0	0	GS|100.0|MK629007|SH1160030.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrocybe,s:Hygrocybe acutoconica
OTU235	2	0	0	0	24	0	0	0	GS|99.6|UDB0339158|SH1506917.08FU;k:Fungi,p:Basidiomycota
OTU236	0	0	9	0	2	0	0	0	GSL|99.3|KY853449|SH1626925.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Leptodontidium,s:Leptodontidium trabinellum
OTU238	0	0	0	7	0	0	0	0	GS|100.0|UDB0186117|SH1522259.08FU;k:Fungi,p:Mucoromycota,c:Umbelopsidomycetes,o:Umbelopsidales,f:Umbelopsidaceae,g:Umbelopsis
OTU24	0	0	0	660	5	14	0	21	GSL|100.0|MN879385|SH1557165.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Thelebolales,f:Pseudeurotiaceae,g:Pseudogymnoascus
OTU240	0	0	6	0	0	0	0	0	GS|100.0|UDB0220293|SH2609148.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
OTU241	4	0	0	0	5	0	0	0	GS|100.0|UDB0338810|SH2715273.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes
